City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,kenai,60.5544,-151.2583,268.79,92,100,15.43,US,1702257581
320,aasiaat,68.7098,-52.8699,269.54,89,100,6.09,GL,1702257773
321,pangkalanbuun,-2.6833,111.6167,300.0,85,100,0.61,ID,1702257904
322,pandan,14.0453,124.1694,301.52,79,68,4.69,PH,1702257801
323,corinto,37.9407,22.9573,284.2,91,100,0.72,GR,1702257905
324,padangsidempuan,1.3667,99.2667,296.84,95,100,0.53,ID,1702257905
325,manta,-0.95,-80.7333,299.03,73,40,6.17,EC,1702257655
326,batticaloa,7.7102,81.6924,298.57,86,97,2.08,LK,1702257905
327,wittenbach,47.4631,9.3776,281.36,81,75,2.57,CH,1702257905
328,byron,44.0327,-92.6455,268.31,84,100,1.54,US,1702257905
329,curillo,1.0333,-75.9191,296.08,96,77,0.85,CO,1702257905
330,kendari,-3.945,122.4989,302.18,71,100,0.85,ID,1702257905
331,hede,33.7681,120.2517,280.49,85,100,9.26,CN,1702257905
332,vilhena,-12.7406,-60.1458,293.7,95,100,2.06,BR,1702257906
333,ust'-barguzin,53.45,108.9833,246.85,99,100,3.01,RU,1702257906
334,utrik,11.2278,169.8474,300.31,77,100,8.79,MH,1702257772
335,bechar,31.6167,-2.2167,285.79,42,45,1.29,DZ,1702257906
336,balykchy,42.4557,76.1861,274.27,48,94,2.08,KG,1702257906
337,puerto deseado,-47.7503,-65.8938,290.6,52,99,4.68,AR,1702257906
338,papao,-17.75,-149.55,303.97,83,41,12.39,PF,1702257807
339,sardinata,8.0829,-72.8007,301.97,87,100,1.51,CO,1702257906
340,port blair,11.6667,92.75,298.17,94,20,1.03,IN,1702257906
341,akjoujt,19.6969,-14.4164,294.81,20,0,5.45,MR,1702257906
342,hailar,49.2,119.7,237.69,100,57,2.08,CN,1702257855
343,fortuna,40.5982,-124.1573,286.47,83,100,0.0,US,1702257769
344,freeport,40.6576,-73.5832,290.03,92,100,11.32,US,1702257907
345,tobruk,32.0836,23.9764,288.01,67,95,6.56,LY,1702257907
346,ardestan,33.3761,52.3694,284.33,38,100,1.44,IR,1702257907
347,balaka,-14.9793,34.9558,296.85,73,100,2.07,MW,1702257907
348,mutsu,41.2894,141.2169,275.78,59,100,6.88,JP,1702257907
349,codrington,-38.2667,141.9667,291.7,72,100,6.97,AU,1702257763
350,pyt-yakh,60.7499,72.8582,239.01,99,7,1.12,RU,1702257907
351,st. john's,47.5649,-52.7093,272.12,91,0,3.6,CA,1702257898
352,laojunmiao,39.8333,97.7333,269.2,54,74,2.29,CN,1702257908
353,pacasmayo,-7.4006,-79.5714,293.84,79,37,6.18,PE,1702257908
354,novelda,38.3848,-0.7677,288.72,70,0,3.35,ES,1702257908
355,dingcheng,32.1272,115.0394,275.2,81,100,5.76,CN,1702257908
356,susuman,62.7833,148.1667,248.7,99,86,2.24,RU,1702257908
357,cockburn town,21.4612,-71.1419,299.13,69,40,6.69,TC,1702257908
358,messaad,34.1543,3.5031,285.15,54,6,2.02,DZ,1702257909
359,kingston,17.997,-76.7936,301.68,76,20,7.72,JM,1702257812
360,wotje,9.4543,170.2367,300.53,78,85,9.88,MH,1702257909
